EDR,CIL#,Varone #,Langner #,Insula,Text of Inscription,Caption for graffito,Translation,Commentary ,Tags / Keywords,New Tag Ideas,Is Textual/Translation Greatest Hit?,Commentary for Greatest Hits Page,Is Figural Greatest Hit?,Image for Greatest Hit,Morpholio Tracing,Choose Photos for EDR,EDR images on line,Images Not On-Line,Update EDR apparatus?,Notes,,,,,
EDR152964,10614,,,6,"K(alendas) Aug(ustas) Nonas Apr(ilis) Atinas",Graffito mentioning dates,"Kalends of August, Nones of April at Atina.","Atina is a town located in central Italy, in the Frosinone region.","calendrical, days, months, nones, kalends",,,,,,complete,,Already on EDR,Photo (Varone),,,,,,,
EDR152999,10615,,,6,Quartu(s),Graffito mentioning a name (?),Quartu(s),"Could be the ordinal number ""quartu(m)"", ""for the fourth time"", or the cognomen ""Quartu(s)"".","names, male, cognomen",,,,,,- - -,couldn't find,None available,,,,,,,,
EDR153000,10616,,,6,Moderatus,Graffito naming Moderatus,Moderatus,,"names, male, cognomen",,,,,,,5454,HGP 2016,"Photo (Varone- don't add),",,,,,,,
EDR140037,10617,,,Ins. Or. 1,XI k(alendas) Februarias,Graffito mentioning a date,The 11th day before the Kalends of February.,,"dates, kalends, months, days, numerical, calendrical, Number",,,,,,- - - ,,,Photo (Varone- don't add),,,,,,,
EDR140040  ,10618,,,Ins. Or. 1,"C C ego",Initials (?),C. C. I (myself)....,"Possibly two initial of the tria nomina (i.e. ""I am CC). Also could be an abreviation - c(larissimus) c(onsul). ","names, people, Number",pronouns,,,,,- - -,,"None Available (no apograph, none listed)",,,CC could stand for clarrisimus consul ,,,,,
EDR073355,10619,,,Ins. Or. 1,Apollinaris medicus Tìtì Impe(ratoris) <:servus> hic cacavit bene,Graffito naming Apollinaris (doctor of the emperor),"Apollinaris, doctor, slave of the emperor Titus, shat well here","This graffito is an example of one of the more colorful ones that are found throughout the Bay of Naples. The first line of the graffito shows its author: Apollinaris, and his position: doctor to the emperor Titus. Because there is mention of an emperor, this graffito is very famous; especially when coupled with its colorful language. The first line is larger than the rest of the graffito giving his name and title the most importance. Varone describes the handwriting as refined if not pompous.The inscription does have a lot of flourishes and is quite artfully done. Graffiti discussing bathroom habits is not an uncommon type of graffiti. The pairing of this is act with a man who has ties to the emperor, and is proud of that, is a contrast. Similar graffiti have been found in Ostia which is located south west of Rome on the coast. There the graffiti name the seven Greek sages, or famous wise men, and also various bathroom activities. 
This graffito raises many questions. Whether or not it was meant to be a joke, or perhaps an insult? And then do our opinions change when we take into account that Apollinaris is a doctor?","people, names, men (male, man), adults, occupations, humor, jokes, scatalogical, political/social, Political Office, emperor, slaves, slavery, senator, citizens, magistrate, political offices, freedmen","doctors, medicus",Y,"This graffito is an example of one of the more colorful ones that are found throughout the Bay of Naples. The first line of the graffito shows its author: Apollinaris, and his position: doctor to the emperor Titus. Because there is mention of an emperor, this graffito is very famous; especially when coupled with its colorful language. The first line is larger than the rest of the graffito giving his name and title the most importance. Varone describes the handwriting as refined if not pompous.The inscription does have a lot of flourishes and is quite artfully done. Graffiti discussing bathroom habits is not an uncommon type of graffiti. The pairing of this is act with a man who has ties to the emperor, and is proud of that, is a contrast. Similar graffiti have been found in Ostia which is located south west of Rome on the coast. There the graffiti name the seven Greek sages, or famous wise men, and also various bathroom activities. This graffito raises many questions. Whether or not it was meant to be a joke, or perhaps an insult? And then do our opinions change when we take into account that Apollinaris is a doctor? ",,,- - - ,,Photo (Varone),Photo (HGP),,http://www.ostia-antica.org/regio3/10/10-2.htm,,,,,
EDR140050,10620,,,Ins. Or. 1,Bucolus,Graffito naming Bucolus,Bucolus,,"people, names, men (male, man), animals, quadruped, bull",,,,,,- - -,,,"Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR140052,10621,,,Ins. Or. 1,soli,Graffito,Alone...,"The word ""soli"" could be from one of three different Latin words; the noun for sun:sol, solis M., the adjective for alone: solus, sola, solum, or the noun for ground: solum, soli. solum N. Because there is no other context, we cannot tell which one it is. Therefore there are three possible translations: to the sun, (we) alone, or of the ground.",,"heavenly bodies? e.g., sun, moon, stars",,,,,- - -,,"None Available (no apograph, ""non invenerunt..."")",,,,,,,,
EDR140054,10622,,,Ins. Or. 1,feliciter ((:navis)),Greetings written in the shape of a boat,Good luck!,"Inscribed within a ship with the T as the mast and the letters as ours, this graffito marks a prominent place on one of the walls in the House of the Telephus Relief. Today it is badly faded and nearly illegible. In any case, the inscriber spelled it feliter, eliminating a full sylable.  Examples of nautical technopaegnion (writting names in the form of ships) like this occur throughout Herculaneum and Pompeii. For other examples, see CIL IV.10655a.,CIL IV.10655b., and CIL IV.10652.","boats, mast?, word art, oars, salutations/introductions, greetings/hellos",technopaegnion,,,,,complete,,Photo (HGP 2016),Photo (HGP); Photo (Varone- don't add),,,,,,,
EDR140834   ,10623,,,Ins. Or. 1,ΚΛΗΒΙΧΝ,"Greek letters
",---,"This graffito, written in close proximity to 10624, another compilation of Greek letters, may be an example of an anagram. However, if it is one, it has not been deciphered. Another, less sensational possibility is that it merely represents someone practicing their letters.","nonsense (ie, textus non legitur), Writing, alphabet, Greek",letters,,,,,complete,,Photo (HGP 2016),"Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR140835 ,10624,,,Ins. Or. 1,ΛΙΑΒΙΧΤΛ,"Greek letters 
",---,"This graffito, written in close proximity to CIL IV.10623, another compilation of Greek letters, may be an example of an anagram. However, if it is one, it has not been deciphered. Another, less sensational possibility is that it merely represents someone practicing their letters.","nonsense (ie, textus non legitur), Writing, alphabet, Greek",,,,,,complete,,HGP 2016,"Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR140060,10625,a,,Ins. Or. 1,NO,Graffito,---,,incomplete/unfinished,,,,,,- - -,,,Photo (HGP),,,,,,,
EDR140150,10625,b,,Ins. Or. 1,PÂM,Initials (?),---,Possibly a man's tria nomina?,incomplete/unfinished,initials/abbreviation,,,,,complete,IMG_6084,HGP 2016,"Photo (HGP), Photo (Varone- don't add)",,,,,,,
EDR151894,10626,,,Ins. Or. 1,Artorius / [- - -]IIIII II III ,Graffito naming Artorius,"Artorius. ""5"" ""2"" ""3""",,"people, names, men (male, man), Roman Numerals, tally marks, nomen gentilicium",,,,,,- - - ,,None Available    ,,,,,,,,
EDR151895,10627,,,Ins. Or. 1,IVIIRIIHIIRI,Series of letters,---,,"Political / Social, Class / Status, verbs","Past/Present/Future, Masters ",,,,,- - - ,,None Available,,,,,,,,
EDR151897,10628,,,Ins. Or. 1,"V(?) Bombycion / fellat",Erotic grafitto,Bombycion sucks,"For the tag female see Solin 1973, 272-Not Nathan or Lilly.  Greek name? Look up LGPN","People, Names, women (female, woman), men (male, man), Sexual Activity, sex, fellatio, humor, insults, verbs",,,,,,- - - ,,Apograph (Della Corte),,,,,,,,
EDR151899,10629,,,Ins. Or. 1,[- - -]o / [- - -]foro,Graffito,... (in the) forum (?),"It could be a Latin spelling of the name Nikephorus or Onesiphorus, but there are no other Latin words with ""for"" in the middle.","Incomplete/unfinished, Architecture","Broken/damage, building names, property types, public buildings",,,,,- - - ,,None Available,,,,,,,,
EDR153110,10630,,,Ins. Or. 1,Q(uintus) M[---] Antu[s ---],Graffito naming a man,Quintus M[---] Antu[s--?],"The middle of the graffito is damaged, making it impossible to tell whether ""ANTV"" is the beginning or middle of the name.","Incomplete/unfinished, Names, Praenomen, Nomen gentilicium, cognomen ","Initials/Abbreviations, damage",,,,,- - - ,,None Available,,,,,,,,
EDR153111,10631,,,Ins. Or. 1,Phoebus / aegrotes,Graffito naming Phoebus,"May you suffer, Phoebus.","Fuibus for Phoebus and egrotes for aegrotes, nominative for vocative, @Hannah: Nice find! What a lovely inscription. Explain that it is a wish - subjunctive","People, Names, Men (male, man), Religion, Curses, Humor, Insults, verbs",Irregular grammar ,,,,,- - - ,,Apograph (Della Corte),,,,,,,,
EDR154567,10632,a,,Ins. Or. 1,quattuor cer[---],Numerical graffito,Four (...),"CIL IV.10632a., b., and c. may be the only graffiti with written numbers, perhaps indicating that this was a single, one time transaction, one not subject to change, essentially ""set in stone"" (or in this case, plaster).","Numerical, Number, Incomplete/unfinished",Broken/damage,,,,,- - -,,None Available    ,,,,,,,,
EDR154568,10632,b,,Ins. Or. 1,Extan[t?] p̣isu / [---]quatus ne / Quinque,Numerical graffito,There exist (...other letters here...) ...fourth(?) not five,"Della Corte suggests ""risu"" for ""pisu"" (laughter verses pea-plant) and reads the missing portion of ""quatus"" as the name ""(Tor)quatus"", though he also suggests ""quartus"" (quarter) and ""quattuor"" (four) and ""quadruplum"" (quadruple). See CIL IV.1679 Add. p. 463 for ""quadtus"" as ""quattor"". CIL IV.10632a., b., and c. may be the only graffiti with written numbers, perhaps indicating that this was a single, one time transaction, one not subject to change, essentially ""set in stone"" (or in this case, plaster).","Numerals (numbers), Incomplete/unfinished, People, Names, Men (male, man), Cognomen",Broken/damage,,,,,- - -,,None Available    ,,,,,,,,
EDR154569,10632,c,,Ins. Or. 1,Casium et / tres sc[---]rios habes,Mention of food,You have cheese and three (...),"Read ""casium"" as ""caseum"". CIL IV.10632a., b., and c. may be the only graffiti with written numbers, perhaps indicating that this was a single, one time transaction, one not subject to change, essentially ""set in stone"" (or in this case, plaster).","Numerical, Number, People, Name, Men (male, man), Nomen gentilicium, verbs",Broken/damage ,,,,,- - -,,None Available    ,,,,,,,,
EDR153151,10633,,,Ins. Or. 1,Albinus,Graffito naming Albinus,Albinus,,"People, Names, Men (male, man), Cognomen",,,,,,- - -,,None Available    ,,,,,,,,
EDR153355,10634,,,Ins. Or. 1,Qui se tutari nescit nescit vivere / Minimum malu(m) fit contemnendo maximum,Poetic graffito,"He who does not know to guard himself does not know how to live. The tiniest trouble, if ignored, becomes tremendous (i.e. the smallest evil becomes the greatest).",poetic entry; check out Plautus for more alliteration with similar sentiment; Rex Wallace mentions also Publius Syrus,"Poetry, verse, proverb, verbs ",,,,,,- - - ,,None Available    ,Apograph (Della Corte),,,,,,,
EDR153356,10635,,,Ins. Or. 1,Vidimus,Graffito,We saw,,Verbs,,,,,,- - - ,,None Available    ,,,,,,,,
EDR153357,10636,,,Ins. Or. 1,Cai,Graffito mentioning a name,"Gaius!  (vocative... or abbreviated nominative, or set of initials)",Possibly a tria nomina or Cai(us) for Gaius. or vocative?,"People, Names, Men (male, man), Praenomen ",Abbreviation,,,,,- - -,,None Available    ,,,,,,,,
EDR153358,10637,,,Ins. Or. 1,Poly(bius?),Graffito naming Polybius (?),Poly(bius?),"Or possibly transliterated from the Greek ""πολυ,"" meaning ""much"".","People, Names, Men (male, man)",Abbreviation,,,,,- - -,,None Available    ,,,,,,,,
EDR153483,10638,,,Ins. Or. 1,VS summ,Wordplay (?),---,"CIL reads VS SUMM. Della Corta suggests ""summus"", where the suffix becomes the prefix.","Verb, Writing / Wordplay",,,,,,- - -,,None Available    ,,,,,,,,
EDR153484,10639,,,Ins. Or. 1,HIMME,Series of letters,---,"This could be the beginning of the name Himerus, though the double ""m"" creates an issue. This letter combination is found most often in inscriptions for the name Trophime (RRB).","People, Names, Men (male, man), Cognomen",Abbreviation,,,,,- - -,,None Available    ,,,,,,,,
EDR153487,10640,,,Ins. Or. 1,"Venimus, / venimus / hoc cupidi, / multo magis ire cupimus.",Poetic graffito,"We came! We came here desiring, much more do we desire to go","This is the first line of a two line poem in elegiac couplets. Even though the author is unknown, it appears  to be incredibly popular. It has been found in Pompeii at least 10 other times (Cf. 1227, 2995, 6697, 8114, 8231a., 8891, 9849, 10065a.; Solin 1975, no. 17, Solin 1975, no. 57) and once more in Gaul. We know of two differing endings of the poem, though most writers simply transcribe the first line. This is one of many poetic graffiti in Herculaneum. For more information, see: Benefiel, Rebecca. ""Chapter 3: Rome in Pompeii: Wall Inscriptions and GIS,"" in Latin in Stone: Epigraphic Research and Electronic Archives, edited by Francisca Feraudi-Gruenais, 45-76. Lanham, MD: Lexington Books, 2010.","Verb, Writing / Wordplay, Poetry, Verse","Quote, Reference",Y,"This is the first line of a two line poem in elegiac couplets. Even though the author is unknown, it appears to be incredibly popular. It has been found in Pompeii at least 10 other times (Cf. 1227, 2995, 6697, 8114, 8231a., 8891, 9849, 10065a.; Solin 1975, no. 17, Solin 1975, no. 57) and once more in Gaul. We know of two differing endings of the poem, though most writers simply transcribe the first line. This is one of many poetic graffiti in Herculaneum. For more information, see: Benefiel, Rebecca. ""Chapter 3: Rome in Pompeii: Wall Inscriptions and GIS,"" in Latin in Stone: Epigraphic Research and Electronic Archives, edited by Francisca Feraudi-Gruenais, 45-76. Lanham, MD: Lexington Books, 2010.",,,- - -,,None Available    ,,,,,,,,
EDR153485,10641,,,Ins. Or. 1,Numini,Graffito,For the numen (divine will).,,Religion,,,,,,- - -,,,,,,,,,,
EDR153486,10642,,,Ins. Or. 1,CA,Series of letters,---,Possibly initials.,"People, Names, Men (male, man), Praenomen ",Abbreviation,,,,,- - -,,None Available    ,,,,,,,,
EDR154533,10643,a,,Ins. Or. 1,Anicete Paris va(le),Greetings to Anicetus and Paris,"Goodbye, Anicetus (and) Paris.","It is very unusual to see a ""va"" meaning goodbye with two names, it is generally only seen with one name. This graffito is inscribed in the mortar between isodomic blocks.","People, Names, Men (male, man), Cognomen, Salutations/Introductions, Farewells/Goodbyes",,,,,,- - -,,None Available    ,,,We would love to access this area in a future AGP season,,,,,
EDR154534,10643,b,,Ins. Or. 1,Echio va(le),Greetings to Echio,"Goodbye, Echio.",Cf. 10596. This graffito is inscribed in the mortar between isodomic blocks.,"Salutations/Introductions, Farewells/Goodbyes",,,,,,- - -,,None Available    ,,,,,,,,
EDR154535,10643,c,,Ins. Or. 1,L(uci?) Acti va(le). Mystice Mus comici icui pro te fuimus.,Greetings to Lucius Actius,"Lucius Actius, farewell. Mysticus, mus(ician), (slave?) of the comedian Icuus...we were for you. (trans. Cooley and Cooley)","This graffito is inscribed in the mortar between isodomic blocks. We present the translation of Cooley and Cooley 2013. The name ""Icuus"" is otherwise unattested. Perhaps ""icui"" is an incorrect reading.","People, Names, Men (male, man), Nomen gentilicium, Praenomen, Salutations/Introductions, Farewells/Goodbyes, Writing/Wordplay, Verbs, Cognomen, Humor, Occupations, Entertainer",,,,,,- - -,,None Available    ,,,,,,,,
EDR153609,10644,,,Ins. Or. 1,"Meti(enus?)",Beginning of a name (?),Metienus(?) OR Mettius(?),"Only the first part of this graffito is visible, the Meti(---). This could be the start of either the name Metienus or Mettius. There is no other available information or context to determine which though.","Names, People, Men (male, man), Cognomen, Nomen gentilicium",,,,,,- - -,,None Available    ,,,,,,,,
EDR154576,10645,,,Ins. Or. 1,[X]anthi / trama / p(ondo) IX / stame(n) / p(ondo) VII / VIII,Statement about a transaction,"Cloth for (literally ""of"") Xanthus: weft - 9 (units by weight), warp - 7 (units), 8 ",Xanthus is a place? a river?,"Incomplete/unfinished, Roman numerals, Number, Cognomen",abbreviation,,,,,- - -,,None Available    ,,,,,,,,
EDR153613,10646,,,Ins. Or. 1,Iuliam / ad dom(inam?),Graffito naming Julia,"To Julia, mistress",,"Nomen gentilicium, People, Names, Women (female, woman)",abbreviation,,,,,- - -,,None Available    ,,,,,,,,
EDR153615,10647,,,Ins. Or. 1,LXXII,Roman numerals,"""72""",,"Roman numerals, Number",,,,,,- - -,,None Available    ,,,,,,,,
EDR140211,10648,,,Ins. Or. 2,charca miam sira,Graffito,(unknown meaning),"Written in large letters in the wet plaster above the lavatory, the meaning of this graffito is uncertain. ""Charca"" and ""sira"" have no known meaning in the Latin language. Della Corte suggests ""Calca meam (mentulam?), Syra"", where Syra is someone's name. ","People, Names, Language, Verb, Cognomen, Woman (female, woman)",,,,,,not started (on W&L iPad),"IMG_5712, IMG_5726",HGP 2016,Photo (HGP); Photo (Varone- don't add),,,,,,,
EDR153740,10649,,,Ins. Or. 2,Amethyste v̂a(le),Greetings to Amethystus,"Goodbye, Amethystus.",,"Salutations/Introductions, Farewells/Goodbyes, People, Names, Men (male, man), Cognomen",Abbreviation,,,,,not started (on W&L iPad),"IMG_5684, IMG_5688","Photo (Varone), HGP 2016",,,,,,,,
EDR153741,10650,,,Ins. Or. 2,CHIE IMN,Series of letters,---,"This graffito is no longer extant, as it was written in charcoal long washed away. The meaning of it is uncertain. ",,In carbon,,,,,- - - ,,Entry (CIL),,,,,,,,
EDR153800,10651,a,,Ins. Or. 2,((semis)) IIIII,Tally marks,"S ""5""",The S at the beginning of the numerical series here seems to denote a number following it.,"Roman numerals, Tally Marks",,,,,,- - -,,None Available ,,,,,,,,
EDR154423,10651,b,,Ins. Or. 2,((semis)) IIIIIIIIIIII XX,Tally marks,"S ""32""",,"Roman numerals, Number",,,,,,- - -,,None Available     ,,,,,,,,
EDR140239,10652,,,Ins. Or. 2,C(aius) Iunius / ((:nomen C(AIUS) IUNIUS in forma navis scriptum)),Name written in the shape of a boat,Gaius Iunius,"Examples of nautical technopaegnion (writing names in the form of ships) like this occur throughout Herculaneum and Pompeii. For other examples, see CIL IV.10655a., CIL IV.10655b., and CIL IV.10622.","People, Names, Men (male, man), Nomen gentilicium, Praenomen",,,,,,- - -,,,Photo (HGP); Photo (Varone- don't add),,,,,,,
EDR140193,10653,a,,Ins. Or. 2,XVII,Tally marks,"""17""",,"Roman numerals, Number",,,,,,- - -,,,Photo (HGP); Photo (Varone- don't add),,,,,,,
EDR140250,10653,b,,Ins. Or. 2,IIIIIII,Tally marks,"""7""",,"Roman numerals, Tally Marks",,,,,,- - -,5746,HGP 2016,Photo (HGP); Photo (Varone- don't add),,,,,,,
EDR154570,10654,a,,Ins. Or. 2,Quant(?),Graffito,How much?,"Della Corte suggests ""qualit"" as the correct reading.",,Abbreviation,,,,,- - -,,None Available    ,,,,,,,,
EDR154571,10654,b,,Ins. Or. 2,[Ius?]tus lusor,Graffito mentioning a game player,"(Ius)tus, the game player","This could mean that Iustus is playing games or that he is a tease. For Iustus' other titles, see CIL IV.10654c.","Incomplete/unfinished, Occupations, Entertainer",,,,,,- - -,,None Available,,,,,,,,
EDR154572,10654,c,,Ins. Or. 2,Iustus cinaedu[s],Insult,Iustus (is a) pervert,"""Cinaedus"" referes specifically to the passive reciever of a sexual encounter. It can also be used loosly to refer to an effeminate man. For Iustus' other titles, see CIL IV.10654b.","Incomplete/unfinished, Cognomen, Sexual Vocabulary, People, Names, Men (male, man), Sexual Role, Cinaedus",,,,,,- - -,,None Available,,,,,,,,
EDR154573,10654,d,,Ins. Or. 2,cinaede,Insult,Pervert!,"""Cinaedus"" referes specifically to the passive reciever of a sexual encounter. It can also be used loosly to refer to an effeminate man. Here, the author of the graffito has placed ""cinaede"" in the vocative case, or, rather, the provacitive case, as he calls anyone who walks by ""cinaedus"". ","Sexual Vocabulary, Sexual Role, Cinaedus",,,,,,not started (on W&L iPad),5669,HGP 2016,"Photo (Varone - don't add), Photo (HGP)",,,,,,,
EDR140251 ,10654,e,,Ins. Or. 2,XXXIXXVVV,Numerical graffito,(Series of numbers),"Values differ depending on whether or not ""IX"" means ""9"" or ""11"".","Roman numerals, Number",,,,,,not started (on W&L iPad),5664,HGP 2016,Photo (HGP); Photo (Varone - don't add),,,,,,,
EDR140252  ,10654,f,,Ins. Or. 2,IIIIIIIIIIIIIIIIII,Tally marks,"""18""",,"Roman numerals, Tally marks",,,,,,not started (on W&L iPad),5664,HGP 2016,Photo (HGP); Photo (Varone - don't add),,,,,,,
EDR153742,10655,a,not included,Ins. Or. 2,Silentiolus / ((:nomen SILENTIOLUS in forma navis scriptum)),Name written in the shape of a boat,Silentiolus,"Examples of nautical technopaegnion (writting names in the form of ships) like this occur throughout Herculaneum and Pompeii. For other examples, see CIL IV.10655b., CIL IV.10622, and CIL IV.10652.","People, Names, Men (male, man), Cognomen, Boats",,,,,,not started (on W&L iPad),5660,HGP 2016,Photo (HGP); Photo (Varone - don't add),,,,,,,
EDR153743,10655,b,not included,Ins. Or. 2,Silentiolus / ((:nomen SILENTIOLUS in forma navis scriptum)),Name written in the shape of a boat,Silentiolus,"Examples of nautical technopaegnion (writting names in the form of ships) like this occur throughout Herculaneum and Pompeii. For other examples, see CIL IV.10655a., CIL IV.10622, and CIL IV.10652.","People, Names, Men (male, man), Cognomen, Boats",,,,,,not started (on W&L iPad),5654,HGP 2016,Photo (HGP); Photo (Varone - don't add),,,,,,,
EDR153849,10656,,,Ins. Or. 2,Ursi me comedant,Poetic graffito (?),Let the bears devour me.,"See CIL IV.10660, CIL IV.2360, CIL IV. 4008. CIL IV.2360 contains full poem.","Language, Verb, Sexual Vocabulary, Poetry, Verse",,,,,,- - - ,,"None Available (no apograph, none listed)",,,,,,,,
EDR153850,10657,,,Ins. Or. 2,S(emis) C Y ((mille)) S(emis) S(emis),Numerical graffito,---,,,Symbol,,,,,- - - ,,"None Available (no apograph, none listed)",,,,,,,,
EDR153851,10658,,,Ins. Or. 2,Ultas,Graffito,The (women?) who have avenged (?),"This feminine, accusative plural participle of ulciscor (""I avenge"") is sitting by itself, but it is highlighted with a box around it. Who knows to what or to whom it refers?",,,,,,,- - - ,,Entry (CIL),,,,,,,,
EDR153852,10659,,,Ins. Or. 2,((mille)) ((mille)),Numerical graffito,"""1000"" ""1000""",,,Symbol,,,,,- - - ,,Photo (Varone),,,,,,,,
EDR153853,10660,,,Ins. Or. 2,Ursi me comedan[t],Poetic graffito (?),Let the bears devour me.,"See CIL IV.10656, CIL IV.2360, CIL IV.4008, CIL IV.2360 contains full poem.","Language, Verb, Sexual Vocabulary, Poetry, Verse",Verbs,,,,,- - - ,,"None Available (no apograph, none listed)",,,,,,,,
EDR153854,10661,,,Ins. Or. 2,[---]asu M umor[---],Graffito,(Other letters here...) moisture,,,Incomplete,,,,,- - - ,,None Available,,,,,,,,
EDR154042,10662,,,Ins. Or. 2,,Graffito mentioning a date,"On the Nones of July (... damaged text here...). Eight days before the (...) was born. The day before the Nones and on the Nones (... damaged text here...) at Herculaneum, Nola, Pompeii... (...other text here).",,"Calendrical, Months, Nones",,,,,,- - -,,,"Entry (CIL), Apograph (Della Corte)",,,,,,,
EDR154437,10663,a,,Ins. Or. 2,IIIIIIIIIIIIIIIIIIIII,Tally marks,"""21""",,"Roman Numerals, Tally Marks",,,,,,complete,6424,HGP 2016,Photo (Varone- don't add),,,,,,,
EDR154439,10663,b,,Ins. Or. 2,IIIIIIIIIIIIIIIIIIII,Tally marks,"""20""",,"Roman Numerals, Tally Marks",,,,,,complete,6428,HGP 2016,Photo (Varone- don't add),,,,,,,
EDR154440,10663,c,,Ins. Or. 2,IIIIIIIIIIIIIIIIIII,Tally marks,"""19""",,"Roman Numerals, Tally Marks",,,,,,complete,6428,HGP 2016,Photo (Varone- don't add),,,,,,,
EDR154441,10663,d,,Ins. Or. 2,IIIIIIIIIIII,Tally marks,"""12""",,"Roman Numerals, Tally Marks",,,,,,complete,6424,HGP 2016,Photo (Varone- don't add),,,,,,,
EDR154442,10663,e,,Ins. Or. 2,IIII,Tally marks,"""4""",,"Roman Numerals, Tally Marks",,,,,,complete,,,Photo (Varone- don't add),,,,,,,
EDR154043,10664,,,Ins. Or. 2,Septembr(es) / III idus pro tunica ((denarius)) I a(sses) VIII,Statement about a transaction,"On the third day before the Ides of September, (I spent) one denarius and eight asses for a tunic.",,"Calendrical, Months, Ides, Roman Numerals, Money, Denarius, Numbers",Symbol,,,,,- - -,,None Available,,,,,,,,
EDR154044,10665,,,Ins. Or. 2,A(n)sas n(umero) LXI / Anaticulas n(umero) CXXVI,Inventory,Handles (geese?) - 59. Ducklings - 126. ,"This graffito is found in a tavern. Della Corte suggested the first word could be a(n)sas, written for ""anseres"" (geese), which would fit with the idea of the second item being ducklings. (Della Corte wanted ansas = anseres, which would be somewhat in keeping with the ducklings.)","Roman Numerals, Numbers, Inventory",duckling,,,,,- - -,,None Available,,,,,,,,
EDR154443,10666,a,,Ins. Or. 2,IIIIIIIIIIIIIII,Tally marks,"""15""",,"Roman Numerals, Tally Marks",,,,,,- - -,,None Available,,,,,,,,
EDR154444,10666,b,,Ins. Or. 2,Omnes / XXXI,Tally marks,"All of them, ""31""",,"Roman Numerals, Numbers",,,,,,- - - ,,None Available,,,,,,,,
EDR154445,10666,c,,Ins. Or. 2,IIIIIIIIIIIIIIIII /〈:vacat〉 III,Tally marks,"""17"" and ""3""",,"Roman Numerals, Tally Marks",,,,,,- - -,,,Photo (Varone- don't add),,,,,,,
EDR154446,10666,d,,Ins. Or. 2,IIIIIIIIIIIIIIII,Tally marks,"""16""",,"Roman Numerals, Tally Marks",,,,,,complete,,HGP 2016,,,,,,,,
EDR154045,10667,,,Ins. Or. 2,Ti(berius) Claud(ius),Graffito naming Tiberius Claudius,Tiberius Claudius,,"People, Names, Men","Praenomen, Gentilicium",,,,,- - -,,None Available,,,,,,,,
EDR154574,10668,,,Ins. Or. 2,III nonas M̂âias / VII idus periit,Graffito mentioning a date,"Three days before the Nones of May. Seven days before the Ides, he (it?) died.",,"Calendrical, Months, Nones, Ides, Roman Numerals, Numbers",Verb,,,,,complete,6182,"Photo (Varone), HGP2016",,,,,,,,
EDR154046,10669,,,Ins. Or. 2,[---]at veniat,Graffito,...let him/her come.,,,"Verb, Incomplete",,,,,- - -,,None Available,,,,,,,,
EDR154047,10670,a,,Ins. Or. 2,Cunei,Inventory,Wedges,"We entitled this as ""inventory"" becuase it located near CIL.IV 10670b which is an inventory and also mentions a cunei",,,,,,,- - -,,,Photo (Varone- don't add),,,,,,,
EDR154092,10670,b,,Ins. Or. 2,Cunei XXIII / Asseres XV,Inventory,"""23"" wedges. ""15"" poles.",,"Roman Numerals, Numbers, As",,,,,,- - - ,,None Available,,,,,,,,
EDR154575,10671,,,Castellum,Lasius cin(a)edus,Insult,Lasius is a pervert.,,"People, Names, Male",,,,,,,,None Available,,,,,,,,
EDR154500,10672,,,Clivus,Maior va(le) / Maior va(le) / OMCA VIII,Greetings (?),"Goodbye, Maior. Goodbye, Maior. (...more text here...)",,"Greeting/Farewell, va, Roman Numerals, Number, As",,,,,,,,Apograph (CIL),,,,,,,,
EDR154421,10673,,,Clivus,VII a(sses) III,Graffito mentioning money,"""7"" asses (coins). ""3""","Sturnus is not a known Roman name. It is the word for a starling, a kind of bird.","Money, As, Roman Numerals, Number",,,,,,,,,,,,,,,,
EDR156782,10673 (nota),,383,Clivus,((:caput gladiatoris ad sin. versum et galea armatum)),Drawing of a gladiator's head,,,"Drawings, Gladiators, gladiator equipment, helmet, Human, head",,,,,,,,,Apograph (Langner),,,,,,,
EDR154177,10674,,,Suburban Baths,Nuc(es) biber(ia?) XIIII / Singa II / Panem III / Orellas III XII / Thymatla IIII VIII,Inventory,"Nuts, drinks(?) - 14; pork rinds - 2; bread - 3; three cutlets - 12; four thyme-flavored sausages - 8 ",John Bodel's article identified these thymatla as thyme-flavored sausages.,,,,,,,,,,"Apograph (CIL), Photo (Varone)",,,,,,,
EDR154179,10675,,,Suburban Baths,"Duo sodales hic fuerunt, et, cum diu malum / Ministrum in omnia haberent / nomine Epaphroditum, vix tarde / Eum foras exigerunt (:exegerunt). / Consumpserunt persuavissime cum futuere ((sestertius)) CVS",Graffito about leisure,"Two friends were here, and they had a servant named Epaphroditus who was terrible at everything for the whole time, so they finally kicked him out. (Then?) they spent 105 1/2 sestertii most delightfully when they had sex.",,"People, Names, Male, Roman Numerals, Money, Sestersius",Verbs,,,,,,,,"Apograph (CIL), Photo (Varone)",,,,,,,
